name,gender,culture,born,died,titles,aliases,playedBy,tvSeries
High Septon,Male,"","","","High Septon, His High Holiness, Father of the Faithful, Voice of the Seven on Earth",The High Sparrow,Jonathan Pryce,"Season 5, Season 6"
Margaery Tyrell,Female,Westeros,"In 283 AC, at Highgarden","",Queen of the Seven Kingdoms,"The Little Queen, The Little Rose, Maid Margaery",Natalie Dormer,"Season 2, Season 3, Season 4, Season 5, Season 6"
Melicent,Female,"","","",Septa,"","",""
Meribald,Male,"","In 247 AC or 248 AC, at the riverlands","",Septon,"","",""
Moelle,Female,"","","",Septa,"","",""
Mordane,Female,"","","In 298 AC, at King's Landing",Septa,"",Susan Brown,Season 1
Nysterica,Female,"","","",Septa,"","",""
Ollidor,Male,"","","",Septon,"","",""
Osmynd,Male,"","","",Septon,"","",""
Raynard,Male,"","","",Septon,"","",""
Scolera,Female,"","","",Septa,"","",""
Torbert,Male,"","","",Septon,"","",""
Tywin Lannister,Male,"",In 242 AC,"In 300 AC, at King's Landing","Lord of Casterly Rock, Shield of Lannisport, Warden of the West, Hand of the King, Savior of the City (of King's Landing)","The Lion of Lannister, The Old Lion, The Great Lion of the Rock",Charles Dance,"Season 1, Season 2, Season 3, Season 4"
Unella,Female,"","","",Septa,"",Hannah Waddingham,"Season 5, Season 6"
Abelar Hightower,Male,"","","",Ser,"","",""
Addam Frey,Male,"","","",Ser,"","",""
Addam Marbrand,Male,"","","","Ser, Commander of the City Watch","",B.J. Hogg,Season 1
Addam Osgrey,Male,"",In 183 AC or 184 AC,"In 196 AC, at Redgrass Field","","","",""
Addam Velaryon,Male,Valyrian,"In 114 AC, at Hull","In 130 AC, at Tumbleton",Ser,Addam of Hull,"",""
Addison Hill,Male,"",At Cornfield,"","Ser, Lord Commander of the Kingsguard",The Bastard of Cornfield,"",""
Aegon Blackfyre,Male,Valyrian,In 184 AC,"In 196 AC, at Redgrass Field","","","",""
Aegon Frey,Male,"",In 249 AC (roughly),"In 299 AC, at the Twins","",Jinglebell,"",""
Aegon Frey,Male,"",In or between 253 AC and 272 AC,"","",Aegon Bloodborn,"",""
Aegon I,Male,"","27 BC, at Dragonstone","37 AC, at Dragonstone","King of All Westeros, Shield of His People, King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms, Protector of the Realm, Lord of Dragonstone","Aegon the Conqueror, Aegon the Dragon, Aegon the Dragonlord","",""
Aegon II,Male,"","107 AC, at King's Landing","131 AC, at King's Landing","King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms, Protector of the Realm","Aegon the Elder, Aegon the Usurper","",""
Aegon III,Male,Valyrian,"120 AC, at Dragonstone","157 AC, at King's Landing","King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms, Protector of the Realm","Aegon the Younger, Aegon the Dragonbane, Aegon the Unlucky, The Broken King","",""
Aegon IV,Male,"","135 AC, at King's Landing","184 AC, at King's Landing","King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms, Protector of the Realm",Aegon the Unworthy,"",""
Aegon Targaryen,Male,Valyrian,"In 281 AC or 282 AC, at Dragonstone","In 283 AC (Supposedly), at King's Landing","",Young Griff,"",""
Aegon Targaryen,Male,Valyrian,In 26 AC,"In 43 AC, at Gods Eye",Prince,"","",""
Aegon Targaryen,Male,Valyrian,"","",Prince,"","",""
Aegon Targaryen,Male,Valyrian,In or between 50 AC and 59 AC,"",Prince,"","",""
Aegon V,Male,"","200 AC, at King's Landing","259 AC, at Summerhall","King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms, Protector of the Realm","Aegon the Unlikely, Aegon the Fortunate, The Prince Who Was An Eggg","",""
Aegor Rivers,Male,"",In 172 AC,"In 241 AC, at the Disputed Lands",Ser,Bittersteel,"",""
Aelinor Penrose,Female,Valyrian,"","",Queen,"","",""
Aemma Arryn,Female,"",In 82 AC,In 105 AC,Queen,"","",""
Aemon Blackfyre,Male,Valyrian,In 184 AC,"In 196 AC, at Redgrass Field","","","",""
Aemon Costayne,Male,"","","","","","",""
Aemon Estermont,Male,Stormlands,"","",Ser,"","",""
Aemon Rivers,Male,"","","",Ser,"","",""
Aemon Targaryen,Male,Valyrian,"In 198 AC, at King's Landing","In 300 AC, at the Cinnamon Wind, off the coast of Dorne, at the Summer Sea",Maester,"Aemon Targaryen, Maester Aemon, Uncle Maester",Peter Vaughan,"Season 1, Season 3, Season 4, Season 5"
Aemond Targaryen,Male,Valyrian,In 110 AC,"In 130 AC, at the Gods Eye","Prince, Protector of the Realm, Prince Regent","Aemond One-Eye, Aemond the Kinslayer","",""
Aenys Frey,Male,"",In or between 240 AC and 247 AC,"In 300 AC, at Near Winterfell",Ser,"","",""
Aenys I,Male,"","7 AC, at Dragonstone","42 AC, at Dragonstone","King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms, Protector of the Realm","","",""
Aerion Targaryen,Male,Valyrian,In or between 191 AC and 194 AC,In 232 AC,Prince,"Brightflame, Aerion the Monstrous, The Bright Prince, The Prince Who Thought He Was a Dragon","",""
Aerion Targaryen,Male,Valyrian,At Dragonstone,At Dragonstone,Lord of Dragonstone,"","",""
Aeron Greyjoy,Male,Ironborn,"In or between 269 AC and 273 AC, at Pyke","","Priest of the Drowned God, Captain of the Golden Storm (formerly)","The Damphair, Aeron Damphair",Michael Feast,Season 6
Aerys I,Male,"","or between 172 AC and 176 AC, at King's Landing",221 AC,"King of the Andals, the Rhoynar, and the First Men, Lord of the Seven Kingdoms, Protector of the Realm","","",""
Aerys II,Male,"","244 AC, at King's Landing","283 AC, at the Red Keep in King's Landing","King of the Andals, the Rhoynar and the First Men, Lord of the Seven Kingdoms, Protector of the Realm","The Mad King, King Scab",David Rintoul,Season 6
Aglantine,Female,"","","",Septa,"","",""
Aladale Wynch,Male,Ironborn,"","In 300 AC, at Bridge of Skulls",Ser,"","",""
Alan,Male,"",In Age of Heroes,"","","Alan o' the Oak, The Blind Bowman","",""
Alannys Harlaw,Female,Ironborn,"","",Queen of the Iron Islands,Lanny,"",""
Albar Royce,Male,"","","",Ser,"","",""
Alekyne Florent,Male,"","","",Lord of Brightwater (attainted),"","",""
Alerie Hightower,Female,"","In or between 257 AC and 263 AC, at Oldtown","",Lady of Highgarden,"","",""
Alesander Frey,Male,"",In or between 265 AC and 281 AC,"","","","",""
Alesander Staedmon,Male,"","","",Lord of Broad Arch,the Pennylover,"",""
Alester Florent,Male,"",At Brightwater Keep,"In 300 AC, at Dragonstone","Lord of Brightwater, Hand of the King","","",""
Alester Norcross,Male,"",In 290 AC or 291 AC,"","","","",""
Alester Oakheart,Male,"","",At Prince's Pass,"","","",""
Alester Tyrell,Male,Andal,"","",Ser,"","",""
Alicent Hightower,Female,"",In 88 AC,In 133 AC,"Lady, Queen, Dowager Queen","","",""
Alla Tyrell,Female,"",In or around 286 AC (roughly),"","","","",""
Allar Deem,Male,"","","In 299 AC, at The Narrow Sea","","","",""
Alliser Thorne,Male,"",In 248 AC (roughly),"",Ser,"",Owen Teale,"Season 1, Season 4, Season 5, Season 6"
Allyria Dayne,Female,"","","","","","",""
Alyce Graceford,Female,"","","",Lady,"","",""
Alyn Ambrose,Male,"","","","","","",""
Alyn Cockshaw,Male,"","","In 211 AC, at Whitewalls",Lord,"","",""
Barre,Male,"","","",Septon,"","",""
Barristan Selmy,Male,Westeros,In 237 AC,"","Ser, Hand of the Queen","Barristan the Bold, Arstan Whitebeard, Ser Grandfather, Barristan the Old, Old Ser",Ian McElhinney,"Season 1, Season 3, Season 4, Season 5"
Barth,Male,"","",In 99 AC,"Septon, Hand of the King","","",""
Barthogan Stark,Male,Northmen,"","","Lord of Winterfell, Warden of the North",Barth Blacksword,"",""
Bass,Male,"","","","","","",""
Bayard Norcross,Male,"","","",Ser,"","",""
Bellena Hawick,Female,"","","","","","",""
Ben Bushy,Male,"","","In 299 AC, at the Blackwater Rush",Ser,Big Ben,"",""
Ben Plumm,Male,"","","",Commander of the Second Sons,Brown Ben Plumm,"",""
Benedar Belmore,Male,"","","",Lord of Strongsong,"","",""
Benedict Broom,Male,"","","","Ser, Master-at-arms at Casterly Rock","","",""
Benedict I Justman,Male,Rivermen,"","","Ser, King of the Trident","Benedict Rivers, Benedict the Bold, Benedict the Just","",""
Benfred Tallhart,Male,Northmen,In After 281 AC,"In 299 AC, at Stony Shore","","","",""
Benfrey Frey,Male,"",In or between 271 AC and 279 AC,"In 299 AC, at the Twins",Ser,"","",""
Benjen Stark,Male,Northmen,"In 267 AC or later, at Winterfell","",First Ranger,"The Wolf Pup, Ben Stark","Joseph Mawle, Matteo Elezi","Season 1, Season 6"
Benjen Stark,Male,Northmen,"","","King in the North, Lord of Winterfell",Benjen the Bitter,"",""
Benjen Stark,Male,Northmen,"","","King in the North, Lord of Winterfell",Benjen the Sweet,"",""
Bennard Brune,Male,"","","","Ser, The Knight of Brownhollow","","",""
Bennarion Botley,Male,Ironborn,"","","","","",""
Bennis,Male,"","","",Ser,"Bennis of the Brown Shield, Bennis Brownstench","",""
Beony Beesbury,Female,"","","","","","",""
Beren Tallhart,Male,Northmen,In 289 AC,"","","","",""
Berena Hornwood,Female,Northmen,"","","","","",""
Beric Dondarrion,Male,"","In 276 AC or 277 AC, at Blackhaven","In 300 AC (his seventh and final death), at the riverlands",Lord of Blackhaven,"The lightning lord, The Lord of Corpses, Lord Derik","David Michael Scott, Richard Dormer","Season 1, Season 3, Season 4, Season 6"
Beron Blacktyde,Male,"","","","",Blind Beron Blacktyde,"",""
Beron Stark,Male,Northmen,"","","Lord of Winterfell, Warden of the North","","",""
Bertram Beesbury,Male,"","","",Ser,"","",""
Beth Cassel,Female,Northmen,"In about 289 AC, at Winterfell","","","","",""
Betha Blackwood,Female,"",At Raventree Hall,"","Lady, Queen",Black Betha,"",""
Bethany Bolton,Female,Northmen,"","",Lady of the Dreadfort,"","",""
Bethany Bracken,Female,"",In 156 AC or later,In 178 AC,"","","",""
Bethany Redwyne,Female,"","","",Lady of Goldengrove,"","",""
Bethany Rosby,Female,"",In 265 AC or before,In or between 282 AC and 284 AC,Lady,"","",""
Bonifer Hasty,Male,"","","","Ser, Castellan of Harrenhal","Bonifer the Good, Baelor Butthole","",""
Boremund Harlaw,Male,Ironborn,"","",Master of Harridan Hill,Boremund the Blue,"",""
Boros Blount,Male,"","","",Ser,Boros the Belly,"",""
Bowen Marsh,Male,"","","","Lord Steward, First Steward",Old Pomegranate,Michael Condron,Season 5
Bradamar Frey,Male,"",In 289 AC,"","","","",""
Brandon Norrey,Male,Northern mountain clans,"","","The Norrey, Lord Norrey","","",""
Brandon Stark,Male,Northmen,"In 262 AC, at Winterfell","In 282 AC, at King's Landing","",The Wild Wolf,"",""
Brandon Stark,Male,Northmen,"","","Lord of Winterfell, Warden of the North","","",""
Brandon Stark,Male,Northmen,"In 290 AC, at Winterfell","",Prince of Winterfell,"Bran, Bran the Broken, The Winged Wolf",Isaac Hempstead-Wright,"Season 1, Season 2, Season 3, Season 4, Season 6"
Brandon Stark,Male,First Men,"","",King of Winter,Bran the Builder,"",""
Brandon Stark,Male,Northmen,"","","King in the North, Lord of Winterfell",Brandon the Bad,"",""
Brandon Stark,Male,Northmen,"","","King in the North, Lord of Winterfell",Brandon the Burner,"",""
Brandon Stark,Male,Northmen,"","","Lord of Winterfell, Warden of the North","","",""
Brandon Stark,Male,Northmen,"","","King in the North, Lord of Winterfell",Brandon the Shipwright,"",""
Brandon Tallhart,Male,Northmen,In 284 AC or 285 AC,"","","","",""
Branston Cuy,Male,"","","",Lord of Sunflower Hall,"","",""
Brienne of Tarth,Female,"",In 280 AC,"","","The Maid of Tarth, Brienne the Beauty, Brienne the Blue",Gwendoline Christie,"Season 2, Season 3, Season 4, Season 5, Season 6"
Bronn,Male,"",In or between 264 AC and 268 AC,"","Ser, Lord Protector of Stokeworth","Ser Bronn of the Blackwater, Lord Stokeworth",Jerome Flynn,"Season 1, Season 2, Season 3, Season 4, Season 6"
Bryan Fossoway,Male,"","","In 299 AC, at Blackwater Rush",Ser,"","",""
Bryan Frey,Male,"",In or between 281 AC and 291 AC,"","","","",""
Bryce Caron,Male,"","","In 299 AC, at the Blackwater Rush","Lord of Nightsong, Lord of the Marches",Bryce the Orange,"",""
Bryen Caron,Male,"","",In 289 AC,"Lord of the Marches, Lord of Nightsong","","",""
Bryen Farring,Male,"","","In 300 AC, at the wolfswood","","","",""
Brynden Tully,Male,Rivermen,In or between 242 AC and 245 AC,"","Ser, Warden of the Southern Marches, Knight of the Gate (formerly)","Blackfish, Ser Brynden the Blackfish, Brynden Blackfish",Clive Russell,"Season 3, Season 4, Season 6"
Buford Bulwer,Male,"","","",Ser,The Old Ox,"",""
Burton Crakehall,Male,"","","In 299 AC, at the Riverlands",Ser,"","",""
Calla Blackfyre,Female,Valyrian,"","","","","",""
Carellen Smallwood,Female,"","","","","","",""
Carolei Waynwood,Female,"","","","","","",""
Casper Wylde,Male,"","","",Lord of the Rain House,"","",""
Cassana Estermont,Female,"","","In 278 AC, at Shipbreaker Bay, near Storm's End","","","",""
Cassella Vaith,Female,Dornish,"","",Lady of Vaith,"","",""
Catelyn Stark,Female,Rivermen,"In 264 AC, at Riverrun","In 299 AC, at the Twins",Lady of Winterfell,"Catelyn Tully, Lady Stoneheart, The Silent Sistet, Mother Mercilesr, The Hangwomans",Michelle Fairley,"Season 1, Season 2, Season 3"
Cedric Payne,Male,"","","In 298 AC, at Riverlands",Ser,"","",""
Cedrik Storm,Male,"","","","",the Bastard of Bronzegate,"",""
Cerenna Lannister,Female,"","","","","","",""
Cerissa Brax,Female,"","","",Lady of Casterly Rock,"","",""
Cersei Frey,Female,"",In 292 AC or 293 AC,"","",the Little Bee,"",""
Cersei Lannister,Female,Westerman,"In 266 AC, at Casterly Rock","","Light of the West, Queen Dowager, Protector of the Realm, Lady of Casterly Rock, Queen Regent","Brotherfucker, The bitch queen",Lena Headey,"Season 1, Season 2, Season 3, Season 4, Season 5, Season 6"
Ceryse Hightower,Female,"",In 2 AC,"In 45 AC, at King's Landing","Lady, Queen","","",""
Clarence Charlton,Male,"","","",Ser,"","",""
Clarence Crabb,Male,"","","",Ser,Clarence the Short,"",""
Clarent Crakehall,Male,"",At Crakehall,"In 130 AC, at Gods Eye",Ser,"","",""
Clayton Suggs,Male,"","","",Ser,"","",""
Clement Crabb,Male,"","","",Ser,"","",""
Clement Piper,Male,Rivermen,"","",Lord of Pinkmaiden,"","",""
Cletus Yronwood,Male,"","","In 300 AC, at Disputed Lands",Ser,"","",""
Cley Cerwyn,Male,Northmen,"In 284 AC or 285 AC, at Cerwyn","In 299 AC, at Winterfell",Lord of Cerwyn,"","",""
Cleyton Caswell,Male,"","","",Ser,"","",""
Colen of Greenpools,Male,"","","",Ser,"","",""
Alyn Connington,Male,"","","","Ser, Lord Commander of the Kingsguard",The Pale Griffin,"",""
Alyn Estermont,Male,Stormlands,"","",Ser,"","",""
Alyn Frey,Male,"",In 295 AC or 296 AC,"","","","",""
Alyn Haigh,Male,"",In or between 256 AC or 291 AC,"","","","",""
Alyn Hunt,Male,"","","",Ser,"","",""
Alyn Stackspear,Male,"","","",Ser,"","",""
Alyn Tarbeck,Male,"","","In 43 AC, at Gods Eye",Lord of Tarbeck Hall,"","",""
Alyn Velaryon,Male,Valyrian,"In 115 AC or later, at Hull, Driftmark","In or between 171 AC and 176 AC, at sea","Lord of the Tides, Master of Driftmark, Admiral, Master of ships","Alyn of Hull, The Oakenfist, Lord Oakenfist","",""
Alys Arryn,Female,"",In or between 218 AC and 249 AC,"","","","",""
Alys Arryn,Female,"","","","","","",""
Alys Beesbury,Female,"","","","","","",""
Alys Frey,Female,"","","","","","",""
Alys Karstark,Female,Northmen,"In 284 AC or 285 AC, at Karhold","","","","",""
Alys Karstark,Female,Northmen,"","",Lady of Winterfell,"","",""
Alys Karstark,Female,Northmen,"","","","","",""
Alysane Mormont,Female,Northmen,In or between ~273 AC and 278 AC,"","",The Young She-Bear,"",""
Alysanne Bulwer,Female,"",In 291 AC,"",Lady of Blackcrown,"","",""
Alysanne Farman,Female,"","","",Lady,"","",""
Alysanne Hightower,Female,"","","","","","",""
Alysanne Lefford,Female,"","","",Lady of Golden Tooth,"","",""
Alysanne Osgrey,Female,"",In 188 AC or 189 AC,"In 209 AC, at King's Landing","","","",""
Alysanne Targaryen,Female,"",36 AC,99 AC or 100 AC,Queen,Good Queen Alysanne,"",""
Alysanne Tarth,Female,"","","","","","",""
Alyssa Arryn,Female,"","","","","","",""
Alyssa Blackwood,Female,"",In 253 AC or before,In or between 269 AC and 278 AC,Lady,"","",""
Alyssa Targaryen,Female,Valyrian,In or between 51 AC and 60 AC,"",Princess,"","",""
Alyssa Velaryon,Female,Valyrian,In 7 AC,"","Lady, Queen, Dowager Queen, Queen Regent, Lady of Storm's End","","",""
Alyx Frey,Female,"",In 282 AC,"","","","",""
Amarei Crakehall,Female,"",In 245 AC or before,In 264 AC,"","","",""
Ambrose Butterwell,Male,"",In 160 AC or 161 AC,"","Lord of Whitewalls, Hand of the King","Old Milkblood, The lord of cows, Lord Butterbutt","",""
Amerei Frey,Female,"",In 282 AC,"",Lady of Darry,Gatehouse Ami,"",""
Amory Lorch,Male,"","","In 299 AC, at Harrenhal","Ser, Castellan of Harrenhal",The Manticore,Fintan McKeown,Season 2
Andar Royce,Male,Valemen,At Runestone,"",Ser,"","",""
Anders Yronwood,Male,"","","","Lord of Yronwood, The Bloodroyal, Warden of the Stone Way","","",""
Andrew Estermont,Male,"","","",Ser,"","",""
Andrey Charlton,Male,"","","In 299 AC, at the Riverlands",Ser,"","",""
Andros Brax,Male,"","","In 298 AC, at Riverrun",Lord of Hornvale,"","",""
Androw Ashford,Male,Reach,At Ashford,"",Ser,"","",""
Androw Frey,Male,"",In 295 AC or 296 AC,"","","","",""
Annara Farring,Female,"","","",Lady,"","",""
Antario Jast,Male,"","","",Lord,"","",""
Anya Waynwood,Female,"","","",Lady of Ironoaks,"",Paola Dionisotti,Season 4
Archibald Yronwood,Male,"","","",Ser,"Big Man, Ser Greenguts","",""
Ardrian Celtigar,Male,"",In 229 AC or later,"",Lord of Claw Isle,the Red Crab,"",""
Argella Durrandon,Female,"","","","Princess, Storm Queen, Lady of Storm's End","","",""
Argilac Durrandon,Male,"","","2 BC, at south of Bronzegate in the Last Storm",Storm King,Argilac the Arrogant,"",""
Arianne Martell,Female,Dornish,"In 276 AC, at Sunspear","",Princess of Dorne,"","",""
Arianne Tarth,Female,"","","","","","",""
Arlan of Pennytree,Male,"","In or between 149 AC and 153 AC, at Pennytree","In 209 AC, at the Reach",Ser,"","",""
Armond Caswell,Male,"","","",Lord of Bitterbridge,"","",""
Arnolf Karstark,Male,Northmen,At Karhold,"",Castellan of Karhold,Lord Arnolf,"",""
Aron Santagar,Male,Dornish,"","In 299 AC, at King's Landing","Ser, Master-at-arms of the Red Keep","","",""
Arra Norrey,Female,Northern mountain clans,"","",Lady of Winterfell,"","",""
Arrec Durrandon,Male,"","","",Storm King,"","",""
Arron Qorgyle,Male,"","","",Ser,"","",""
Arstan Selmy,Male,Westeros,"","",Lord of Harvest Hall,"","",""
Arthor Karstark,Male,Northmen,"","","","","",""
Arthur Ambrose,Male,"","","",Lord,"","",""
Arthur Dayne,Male,"","","In 283 AC, at the Tower of Joy","Ser, Sword of the Morning","",Luke Roberts,Season 6
